date,sessions,bounces,orders,revenue
2018-10-02,838,18,4,4717.85
2018-10-03,729,18,2,3003.45
2018-10-04,624,19,2,2098.70
2018-10-05,597,10,4,2372.55
2018-10-06,583,10,2,2041.45
2018-10-07,671,5,3,2251.45
2018-10-08,672,9,0,5819.15
2018-10-09,471,0,0,2528.75
2018-10-10,589,11,2,3376.45
2018-10-11,601,9,0,1735.30
2018-10-12,478,10,0,2023.50
2018-10-13,332,1,0,774.00
2018-10-14,614,8,1,1179.00
2018-10-15,549,9,1,3999.05
2018-10-16,657,11,1,2873.40
2018-10-17,675,13,2,2480.55
2018-10-18,665,8,2,1878.40
2018-10-19,559,9,0,1474.90
2018-10-20,218,1,0,2005.75
2018-10-21,742,11,2,1673.50
2018-10-22,777,12,2,2735.10
2018-10-23,876,13,5,3576.25
2018-10-24,768,15,1,3014.94
2018-10-25,836,9,0,4785.00
2018-10-26,735,15,2,860.70
2018-10-27,707,12,2,1452.50
2018-10-28,886,18,1,1953.26
2018-10-29,774,18,0,3423.55
2018-10-30,611,4,5,1471.65
2018-10-31,472,11,1,2037.20
2018-11-01,603,9,0,455.00
2018-11-02,667,12,2,2380.60
2018-11-03,725,10,6,2316.20
2018-11-04,"1,045",18,6,1402.65
2018-11-05,"1,268",16,12,2315.00
2018-11-06,"1,209",21,13,2216.70
2018-11-07,"1,141",11,10,2307.40
2018-11-08,"1,074",13,3,1970.15
2018-11-09,992,12,4,1323.00
2018-11-10,953,16,4,1577.50
2018-11-11,"1,090",12,4,1654.60
2018-11-12,"1,152",8,11,3193.65
2018-11-13,"1,146",17,8,1604.50
2018-11-14,"1,163",11,10,2602.25
2018-11-15,"1,064",18,12,959.60
2018-11-16,964,14,1,1163.00
2018-11-17,868,14,2,981.55
2018-11-18,"1,226",13,7,1402.00
2018-11-19,"1,143",17,7,4166.48
2018-11-20,"1,094",11,8,1565.00
2018-11-21,"1,216",10,10,2024.83
2018-11-22,"1,378",19,4,1242.82
2018-11-23,"1,329",9,9,2001.54
2018-11-24,"1,528",11,4,1268.55
2018-11-25,"1,563",17,8,1984.93
2018-11-26,"1,829",17,9,2854.60
2018-11-27,"1,546",10,8,1564.55
2018-11-28,"1,751",16,6,1401.00
2018-11-29,"1,511",17,6,1312.18
2018-11-30,"1,384",15,2,669.60
2018-12-01,"1,356",10,8,1180.60
2018-12-02,"1,432",14,12,881.58
2018-12-03,"1,376",20,9,4467.45
2018-12-04,"1,201",21,13,1994.45
2018-12-05,"1,118",11,7,2123.90
2018-12-06,986,23,3,2933.25
2018-12-07,981,14,4,1230.70
2018-12-08,985,7,7,841.60
2018-12-09,"1,392",22,3,1757.30
2018-12-10,"1,227",23,8,2256.00
2018-12-11,"1,186",13,8,2257.80
2018-12-12,"1,150",19,5,2114.50
2018-12-13,972,15,4,2465.10
2018-12-14,935,16,8,630.40
2018-12-15,839,10,10,1555.00
2018-12-16,"1,107",21,7,1413.50
2018-12-17,"1,002",12,6,1875.10
2018-12-18,899,14,9,1919.45
2018-12-19,864,25,4,1270.20
2018-12-20,694,17,4,683.10
2018-12-21,603,13,3,1024.95
2018-12-22,565,19,2,769.60
2018-12-23,545,20,3,393.20
2018-12-24,351,9,1,48.20
2018-12-25,624,22,1,124.75
2018-12-26,974,34,7,516.75
2018-12-27,"1,372",32,8,2284.10
2018-12-28,"1,290",24,12,2080.04
2018-12-29,"1,201",14,11,2469.03
2018-12-30,"1,255",13,4,1654.12
2018-12-31,738,18,3,1888.07
2019-01-01,"1,100",24,1,1332.35
2019-01-02,"1,415",11,8,706.81
2019-01-03,"1,369",17,10,1021.79
2019-01-04,"1,276",13,11,1314.29
2019-01-05,"1,150",15,8,1005.47
2019-01-06,"1,540",11,9,1467.30
2019-01-07,"1,514",8,9,3038.40
2019-01-08,"1,322",13,15,1647.60
2019-01-09,"1,350",7,9,2176.00
2019-01-10,"1,233",21,5,1219.80
2019-01-11,929,13,5,984.80
2019-01-12,"1,238",15,7,1088.00
2019-01-13,"1,417",10,8,2989.90
2019-01-14,"1,109",10,9,2049.15
2019-01-15,"1,277",15,15,3331.50
2019-01-16,"1,090",12,16,2073.70
2019-01-17,"1,043",11,5,2533.30
2019-01-18,"1,002",12,5,334.00
2019-01-19,746,9,9,1387.80
2019-01-20,849,12,8,1013.50
2019-01-21,"1,124",18,12,1424.55
2019-01-22,"1,122",6,6,1988.80
2019-01-23,"1,067",5,8,2596.95
2019-01-24,"1,037",13,8,1942.95
2019-01-25,985,20,5,2041.20
2019-01-26,942,6,4,1013.70
